标题,状态,领域,用户名,时间,内容
让非沪籍在沪创业的年轻人幸福安居乐业,待回复,其他 两会,匿***,2015-03-0208:19,韩书记：我们是在上海艰苦创业多年的非沪籍重点大学毕业生。因为我们很想将自己最宝贵的青春年华奉献给祖国的建设事业，所以到目前为止都还未谈婚论嫁。可眼前摆在大家面前的最棘手的难题就是由于上海市政府制定的非沪籍者只有已婚才能在沪购买一套住房的政策，使得我们这些未婚者望房心叹。难道我们推迟婚期有错吗？难道我们因为未婚而就没有权利在上海安居乐业吗？为什么北京广州和深圳在对外地大学生等购房政策上就没有上海政府的政策来得那么苛刻呢？上还有那么多的存量房还未能销售，一边是大量的库积房在哀哭，另一边是未婚的非沪籍大学生在哀望，这不是物质财富和精神财富的双重损失吗？我们强烈要求上海市政府以人为本，在限购政策上剔除“已婚”这一不切实际的条例，只要在上海有稳定工作，交纳一定年限社保的非沪籍大学生都能购买一套住房，以容纳百川的博大胸襟，接纳这些在上海打拼的创业者继续发挥自己的聪明才干，解除他们的后顾之忧，让他们能够全身心地投入到奉献祖国建设中，并且能够幸福地安居乐业。以上是我们年轻人从心底里发出的强烈心声。
浦东11路公交车班次太少,待回复,交通 投诉,匿***,2015-03-0116:29,浦东11路公交车班次太少，在非高峰期我有时在唐镇等半小时以上都没有车，这还叫公交车吗？要么干脆取消，让我们没有指望，改乘其它交通工具，以免等在11路公交站误事。
关于居民住房,待回复,其他 咨询,匿***,2015-03-0115:49,韩书记你好！我住上海市普陀区曹杨二村，这里的房子是上世纪70年代建的，2家合用卫生间，什么时候能得到改善呢?
上海牌照问题,待回复,交通 两会,匿***,2015-03-0109:51,我们老百姓买得起车了，说明日子好过了，但光有车没有牌照，怎么办？市区牌照不但要花那么多钱而且又很难拍到，上沪C又不能进市区，上外地牌照又有限制。建议对沪C牌照车在时间上以及行驶范围适当放开。
高校人事制度改革创新,待回复,教育 两会,匿***,2015-03-0109:51,在上海，高校人事制度改革创新亟待加强。在人才引进、人事招聘、人才评价考核体系构建缺乏有效的监督。人事管理部门存在权力寻租腐败空间。特别是高校党政管理服务人员招聘没有做到面向全社会公开招聘，在高校存在玻璃门现象。在高校工作的租赁制、人才代理人员的权益得不到保障，尽管他们工作敬业业绩突出，却由于身份问题，无法入编。某大学甚至出现了编内人员不愿应聘的保卫处岗位空缺到现在，保卫处优秀租赁制人员由于学校机关党政文职人员招聘制度阻碍无法应聘的怪象。某大学党政文职管理人员只能从辅导员岗位转的制度规定与2014年国务院出台的《事业单位人事管理条例》第八条相冲突。应予纠正
教育容量增加。,待回复,教育 两会,匿***,2015-03-0109:27,韩书记您好：国家强大的基础之一是国民素质，其中教育非常重要。上海教育资源容量太小了，特别是中小学，幼儿园更甚。希望加强教育资源容量。再者，上海作为全国领头兵，应该大胆，大力度真改革啦。
户口问题究竟何时解决？我已经等得没有耐心了！,待回复,其他 两会,匿***,2015-02-2817:17,户口问题提了N年了，究竟何时可解决？我在上海生活工作了16年了，我不要什么暂住证，居住证，只要户口，我的户口簿在老家兄弟手里，他要用，可我在上海买房，卖房，中高考都要户口簿。户口簿不像身份证，不可能全家6口人人手一本，如果家人不在同一城市，用起来太不方便！
科技是第一生产力，发挥上海信息科技中心的优势,待回复,其他 建言,匿***,2015-02-2816:20,科技是第一生产力，充分利用时代互联网特征，整理各个行业的大数据，组建各个专业的电子平台，发挥上海的信息科技中心的优势。   淘宝是商业大数据平台，京东也是。宝钢也组建了一个钢铁服务平台。其他行业也都需要一个大数据平台。这是时代的一个趋势。   比如医疗行业如果有一个大数据平台，病人就可以小病在家为自己依照数据为自己看病，减少现在医院人满为患的状况，把医院医生的专业解放为大病患者方向。我作为一个建筑师也期望有一个上海乃至全国的设计公司设计师的大数据平台，以更好的服务企业，地产商，政府机构等。   政府作为时代的引导者，作为创建大数据平台的平台，更重要。
受地铁4号线损害的房屋该得到解决了,待回复,城建 两会,匿***,2015-02-2814:44,受地铁4号线损害的房屋该得到解决了。十多年了，请领导关心帮助我们一下。
请给来沪就业的大学生安居地,待回复,城建 两会,匿***,2015-02-2814:30,外地大学生为上海的繁荣发展献出了宝贵的青春与热血，希望具有宽阔胸襟的大上海不要继续设置障碍（一定要结婚这一条件）阻挡我们在上海的安居就业。
全面二胎,待回复,其他 两会,樱***,2015-02-2813:33,全面放开二胎 ，利国利民 ，事实摆在眼前，老龄化严重 ，继续新鲜活力。
希望,待回复,三农 两会,匿***,2015-02-2813:02,希望村民的权利得到保障，实惠确确实实到老百姓手里，红利公平，政策透明，村民的权利不要剥夺，村财务公开。……
教育问题,待回复,教育 两会,匿***,2015-02-2812:57,现在重点高中比普通高中要多，每个重点高中的招生数又远大于普通高中的招生人数。这样进入重点高中的学生人数远远大于普通高中的学生数。这是本未倒置了。然后重点高中又分区重点和市重点，市重点又分3-6-9等，这样基本上没有一个初中生学习压力轻的。这是造成现在中国应试教育的根源。必需改变，否则中国基础教育永无出头之日。
绿化河道两岸,待回复,环保 两会,匿***,2015-02-2809:09,我国的河水清澈见底己很少，大部分污染水质富营养化一说治理河道全国大部分都采取石头护岸做成90度坡把河两岸水生植物‘‘’赶尽杀绝’’。水生植物是水质天然净化剂特别是芦竹具有护岸生长快净化河水i效果最好又是造纸的好原料希望两会上提出全国应采用绿色护岸用植物来净化河水。
建议将高考英语由分数考核转变为等级考核,市教育委员会,教育 两会,匿***,2015-02-2808:12,英语占有了巨大的学习时间，可是工作生活中几乎能用到的只是简单的英语沟通而已。使得专业科目得不到学习时间，从文化角度来说，将一们外国语言几乎上升到比国语还重要的地步是严重的失误，国语承载着文化传承，民族凝聚的重要作用，必须要把国语教育放到首要的地位。中国优秀的历史经验只有通过国语教育才能吸收，建议将高考英语考试由分数考核转变为等级考核，并增加听力测试，走实用化道路。小学的时候学过法国作家都德的最后一课，希望教育部的官员能从中体会到点什么，教育不能称为gdp而生
关注渐冻人及其家庭,待回复,医疗 两会,匿***,2015-02-2715:28,“渐冻人症”是运动神经元疾病的一种，对患者来说是一种煎熬，对家庭来说也是精神和经济的双重挑战。可就是这种稀有的毛病却不属于大病的范筹，希望政府能够关注这一群体，给患者带来点阳光，感受到点温暖。
上海地方监管无作赌博游戏厅开了这么多都没人管,上海市公安局,治安 投诉,匿***,2015-02-2316:01,我是嘉定的一个市民，现在嘉定仓场路上有3家游戏厅 还有在墅沟路上1家 ，据说是同一个老板开设，墅沟路上这家公安贴了封条可是暗地里照常营业 ，仓场路农工商超市楼上3楼好大一个赌场门口有人放哨，里面照常聚众赌博，都没人管，这是什么道理，在这里赌了卖房子的都有了，造成了一个家庭破裂的好多。现在习主席在打大老虎，希望我们的韩领导能管管这些监管负责这些地方的小苍蝇，不要让这些场所多了，影响上海的形象。总有一天会出事，出人命的会。
日本企业借中国企业的电镀许可证经营黑电镀厂,浦东新区人民政府,环保 投诉,匿***,2015-02-2312:17,上海市委韩书记 您好。在浦东同强路1256号老港成一电镀厂院内有一个日本人开的黑电镀厂。好几年了。还有3个没就业资格的日本人常年住在这里污染环境。噪音很大。他们花大钱以承包形式借用老港成一的电镀许可证和排水许可证和营业执照进行挂靠经营，而老港成一用自己的国家资格来卖钱。周围住民反映多次了，希望赶紧处理，谢谢啦。
外来务工人员子弟教育,待回复,教育 求助,匿***,2015-02-2308:47,我们家是来沪的外来务工人员，现居住在嘉定区南翔镇。去年家里的小孩要从幼儿园升上一年级，但是因为不了解具体情况，当有关规定出来后已经来不及办理相关证件了，所以学校不给上。家里收入本来就不多，还要负担两个孩子的教育，离开上海生计就更加困难了，所以没办法只能让小孩继续在上海上了幼儿园。今年好不容易有希望能够办理好相关证件，但咨询了镇教育局后，工作人员说年纪大了几个月的小孩如果是南翔本地户口的还可以通融一下，外地户口的根据文件规定不能在上海上一年级只能回家念书，即使民办小学里有空位都不行。我们只是想在上海努力打工挣些辛苦钱，孩子也仅仅大了几个月为什么就不能念上海的民办小学呢？希望您能帮助我们让小孩在上海接受小学教育，以使我们能给孩子一个稍微好一点的经济环境。
合庆镇勤奋村生活在污染包围圈里,待回复,环保 求助,匿***,2015-02-2308:30,合庆镇勤奋村北有垃圾场，殡仪馆；南有污水处理厂，苏州河倒是不臭了，这里常常有恶臭，反映问题好多年，镇政府不闻不问不作为，区政府漠不关心，还有谁是做实事的？
小孩上学,待回复,教育 求助,匿***,2015-02-2216:12,尊敬的市委书记 ：你好！我是一名外地来上海的务工人员，现居住在嘉定区华亭镇，我来上海十几年了小孩也在上海出生在上海长大，因为老家实在无人照看小孩，所以只有带在身边，如今小孩面临上小学，需要办理长期居住证但是居委会 街道办一直以各种理由拒绝给予办理，希望书记能够看在孩子的面上把问题给予解决了，万分感谢！
普陀区小区安放老虎机影响恶劣,待回复,文娱 求助,匿***,2015-02-2108:29,韩书记：您好，我居住的小区超市门口有人安放老虎机，现在正直新年和小孩子放寒假，希望有关部门早日将非法老虎机处置掉，还老板姓一个健康的小区环境，地址：普陀区靖边路199弄阳光威尼斯三期小区内中心花园超市门口，万分感谢！
格列卫等进口特种约何时纳入上海市的医保范围,待回复,医疗 咨询,匿***,2015-02-1810:48,敬爱的韩书记，您好！首先祝您新年快乐、羊年吉祥！我是一名高危间质瘤的患者，两年前动了肿瘤切除手术，术后需要口服进口特种约格列卫来进行后续治疗，而且服用时间较长，需要至少五年。医生嘱咐我最好服用瑞士原装进口的格列卫，但价格十分昂贵，每年需花费七万伍仟元，由于在上海格列卫没有纳入医保范围，全部都要个人自费购买，对于我一名每月收入微薄的工薪阶层来说根本买不起，考虑到这一点，因此，我选购了印度产仿生药格列卫。即便如此，高昂的药价也让我难以承受。或许是由于印度仿生药没有达到与瑞士原装药一样的功效，就在不久前我的病又复发了，经医生诊断需要再次进行肿瘤切除手术。对于肉体上的痛苦，我能忍受，但手后高昂的后续治疗费，却让我痛苦不堪、望而却步。到底手后是不是进行后续治疗让我进退两难，我的全家也因此进入痛苦与烦恼之中。别的省份如广东、福建、江苏等省份已将进口特种药纳入了医保范围。我想问一下韩书记您，我们上海是否也在考虑跟其他省份一样也将格列卫等进口特种药纳入医保范围？我们上海何时能实施对我这样患者生死攸关的政策？从而使像我这样病人避免在倾家荡产去承受高昂的药价还是放弃后续治疗之间作出痛苦的选择，给我们患者带来生的信心和希望。望您能尽快给我答复！感谢您、摆脱您了！
反赌 反赌,待回复,其他 投诉,匿***,2015-02-1808:58,尊敬的韩市长                                           您好；    在2012—2014年之间在松江区， 靠鲨鱼机 ， 老虎机  ，水果机等游戏机，进行赌博猖獗，但从无一人出来管理，害的好多外出务工人员倾家荡产，妻离子散。但每次报警投诉，派出所来了人到游戏厅看看就走了，也没有采取相应的措施。投诉的游戏厅地址；松江区花样桥村沪松五金建材市场好又多超市斜对面网鱼网咖二楼，他的游戏厅很隐秘在卫生间旁边有个防盗门进去，还会有人放哨的。他们一旦发现威胁就会立即停业。我恳请韩市长能帮我们把社会上的毒瘤除掉，还我们市民一片明亮的天空。
请把救命药赫赛汀纳入医保,待回复,医疗 建言,匿***,2015-02-1617:09,韩书记：    您好， 我们是上海的普通家庭，夫人不幸罹患乳腺癌并已经转移，目前正接受靶向治疗，赫赛汀目前看来是唯一能延长家人生命的机会，但昂贵的药费对我们家庭难以承受，这种药是要长期使用的，每3周一疗程，每次都要2万多，一年就是40多万的费用，我一个人工作，既要支付如此昂贵的药费，又要养老和抚养小孩。另外，现在乳腺癌已经成为危及上海女性生命的最大恶性疾病，恳请书记能体谅广大患病家庭的痛苦，将昂贵的靶向药物纳入医保，谢谢！
讨要农民工资,待回复,政务 求助,匿***,2015-02-1415:30,        领导您好！                       我是来自安徽省一名打工者，本人做的是装修工作，现在我遇到一个难题是我们给一个部对军属房装修，现在已经装修好了。共欠工资1万元，本来是答应付23号给我们付5千工资，后面的等几天就过来付，第二天电话就不接，第三天也不接，一直现在都不接我们电话，我们都在等这工资回去过年。 因为她们是部队里的我也不知道房东住在那个部队里。我希望领导能尽快把我的事情安排一下因为我们都在等这回去过年，在这里说声对不起给你们带来麻烦了。  地址是浦三路111弄
投诉上海出租车司机宰客,待回复,交通 投诉,匿***,2015-02-1316:39,尊敬的韩书记：您好！    我今年2月1日中午从上海火车站南广场乘坐出租车到浦东机场被司机多收费。好在我下车时要了车票。车票上记载：车号FW0499，证号312897，日期2015-02-01，上车（00970）12：46，下车13：43，单价3.60元，里程63.3km，等候00：03.26，金额224.00元。    由于我不知道火车站南广场到浦东机场有多远，更不清楚打车应该是多少钱，下车时司机说200多算少的，到虹桥机场还要100多呢，我也就信了。以后听人说被宰了我非常气愤还望领导在百忙之中关注一下。我代表所有跟我同样遭遇的人向您表示最衷心的感谢！    谢谢！
亚大物业収费不合理,待回复,企业 求助,匿***,2015-02-1215:13,"我是普陀区清间三小区居民顾庆祥，因亚大物业収费从原耒的66平米毎冃收18元一月，连漲三年现在毎月収52元9角漲了三倍多。但管理项目未增加，服务质量未改变。相反小区绿化缩了，道路坑坑歪歪未修有骑车跌倒老年人睌上行走跌倒，绿化擅自缩小增加停车多収费，物业一靣憎加管理费一靣収小区几百辆汽车停东费，物业収费增加了几倍。增加管理费未経业主大会讨论请你们调查处理,"
一个河南学生的建议,上海市交通委员会,城建 建言,匿***,2015-02-0708:29,"    您好,我是一名河南人,父母以前在上海工作,搞得物流(集装箱运输).可就在三个月前,因为一场车祸,我的妈妈走了.事故发生在浦西立昌堆场门口,我妈妈是骑电动车正常行驶,可是一辆集卡在超车道直接右转弯,因为车速过快,直接连人带车全部卷入车轮下,当场死亡.而且根据旁边住户说,就在事故发生前几天,还是相同的地方,发生了同样的不幸.所以我想建议在一些堆场的进出口的路上设立减速带.因为我妈妈那场意外,如果那辆集卡能再慢一点,我妈妈就不会出事...    希望您可以看到,不再让另外的家庭...   "
新建地铁,上海市交通委员会,交通 建言,匿***,2015-02-0616:29,我家住闵行，要到浦东上班，到地铁好几次，很是拥堵和费时。纵观整体地铁规划，能否在浦西与浦东之间建立一条地铁，例如把莘庄作为连接点与八号线相连。可以缓解去市区地铁的运行压力。包括市北部几条地铁线，基本都是南北方向，最好能见一条东西向地铁贯穿起来，也就不用去朝市区方向再折回。问题可能太笼统，不知能否阐述清。这个问题以前也提过，可能没问对部门被驳回了。希望领导能在今后地铁交通规划中考虑一下。谢谢。
厅西路，路滑买菜好多人摔倒了！,黄浦区人民政府,城建 求助,匿***,2015-02-0417:05,厅西路，前几日有雨，加露天上菜场地面油腻湿滑，有人摔倒了，一摔就4 ，5人，还好菜场里的学校还没到放学时间，爬起来的人，一屁股油腻腻脏东西，这里的棚户区还要等多久，能给个明确的时间表吗？这条小马路已经超负荷载人了，人满为患，根本没法行走，要是遇到放学那摔倒的人多了，请关注！
将“道德和法制”列入高考科目,上海市教育委员会,教育 建言,匿***,2015-02-0411:22,应将“道德和法制”列入高考科目，且分值要高。理由：1.目前，国民道德和法制意识淡薄；2.道德和法制应从娃娃抓起。儿童是一张白纸，初学的一切知识，都将影响其一生；3.高考是全民关注的一件大事，一个孩子的所学所考，都会影响整个家庭和一批身边的人。如此，十年后，国民素质将极大提升！上海要先行！
韩书记您好！请您救救安徽一岁半的宝宝熊俊怡吧,待回复,医疗 求助,匿***,2015-02-0309:53,尊敬的韩书记：您好！我是一个安徽的网友，想请领导关注一下安徽的小俊怡，一个一岁半的宝宝熊俊怡由于胸口受挤压导致大脑缺氧造成脑部严重受损，造成小脑萎缩，身上多处骨折，肺部有许多痰导致呼吸很困难，小孩现在很痛苦，哭都哭不出来，现在在上海复旦儿科医院就医，医院对小俊怡根本不重视，不知道是不是歧视外地人，孩子每天只能躺在病床上忍受各种疼痛的折磨跟漫长的等待，真希望有相关领导能去医院关注小俊怡给医院施加压力，孩子还小如果尽早治疗各方面都会恢复的快一点，请您救救可怜的小俊怡吧。
建议降低二手房交易环节各种税费、支持改善需求,待回复,其他 建言,匿***,2015-01-3115:51,二手房各类税费居高不小，以上海为例，一套400万元的非普住房，含佣金、各类税费最起码30万元，尽管普通住宅标准微调了，但是核价标准也相应提高了，换句话说，除了去买老公房，或者两房，还有可能挤入普通住宅，对因人口增加而购买3房的家庭，只要在外环内基本上都是非普住宅，动一动就是30万元的税费（含佣金），建议政府研究降低二手房交易各环节税费（营业税、个调税等），进一步扩大普通住宅标准，把老百姓的正常换房需求激发起来，支持刚性需求、改善需求。
对限购的建议,待回复,其他 建言,匿***,2015-01-2816:57,尊敬的领导         您好！   我是福建籍80后独生子女的母亲，我儿子2009年在武汉念完本科在上海工作已经6年了，户口没入上海，限购外地户口，单身不能在上海买房，孩子已在上海交社保，医保，住房公积金五年整了，可就是单身没结婚对象，至于孩子想不想成家是他自己的选择，现在想在上海买套自己住的房子也被限购，孩子热爱这个城市，在这个城市工作，学习，生活就想有个属于自己的家也没办法实现。中国人自古以来就有安居乐业的理念，有个属于自己的窝才能更好的工作学习生活，有归属感，租房的日子没有归属感况且还要付高额的房租费，有诸多不便的因素，我想，在上海象我孩子这样的是个群体，我建议是否能考虑这一群体的刚需需求，在上海持5年以上居住证及交5年以上社保医保的解除对非上海户籍单身的住房限购，望予于采纳，谢谢！
希望尽快结束光复西路动拆迁烂尾工程,普陀区人民政府,三农 建言,匿***,2015-01-2813:56,韩正书记：普陀区光复西路段动拆迁工程已拖至五年，至今仍有百余户动迁居民在苦守。是被动迁者素质差、觉悟低？还是动迁公司与民争利、方法不对头？普陀区党委、政府重复过去的故事，几年来涛声依旧。请韩正书记抽点空过问一下。给个说法。好吗？
流浪狗疯了老百姓怎么办,待回复,治安 投诉,匿***,2015-01-2717:01,上海徐汇区桂林西街85弄小区疯了狗严重威胁老百姓，老人家，孩子生命，十天，警方没有处理，老百姓不敢出门，孩子不敢出门，老百姓不敢上班，童车不敢出门，难道一定要外滩时间在小区发生吗，警方为什么没有迟迟不解决，老百姓怎么办，疯了狗每天上午七点钟在小区55号附近发疯，晚上五点半也是，老百姓怎么办，救救我们老百姓。
761路公交车为什么无耻到没有社会责任,待回复,交通 投诉,匿***,2015-01-2716:56,761路公交车无耻到没有社会责任，一年的投诉，一年的推诿淘江湖，欺骗老百姓，半小时是家常便饭，星期五，星期一更加无法上班。老百姓公交上下班经常迟到，高峰时间半小时，还要空车直接开浦东新区，老百姓沸沸扬扬，风风雨雨影响上班，还要欺骗老百姓。投诉回复淘江湖
乳腺癌的靶向治疗能入上海医保,上海市人力资源和社会保障局,医疗 求助,匿***,2015-01-2314:56,我患乳腺癌，治疗过程中需要使用赫塞汀，由于治疗乳腺癌中的一个靶向治疗十分重要，然而靶向治疗中的一药物——赫赛汀价格非常昂贵，让我们大多数普通家庭对于高昂的治疗费用望而却步。虽然现在有赠药活动，但也需要支付15万先购买六只，再送八支，这只是一个疗程。后期如果还需用药都是自费的。我是个郊区的农民，退休工资只有1400多元，需要使用如此昂贵的药物，我心里负担很大，不愿使用赫塞汀，来拖累自己的家人，希望市长先生能够批准将赫赛汀药物纳入上海医保，让上海每一位女性有了多一层保障，减轻患者们的经济负担。
疯狂的赌博场所,待回复,治安 投诉,匿***,2015-01-2309:14," 尊敬公安领导： 我是一名上海崇明人,我老公是一名出租车司机。曾经我的家庭是过的挺幸福美满的,还有一个儿子一家很开心.可就是害人的赌博机把我的家庭害惨了！我的儿子现在在学校里一些课外的费用都交不起,让他在同龄人面前抬不起头. 宝山区美兰湖罗芬路1088号世纪联华五楼里有一个赌博机场所,每天下午一直到晚上就有很多和我老公一样开出租车的同事到里面赌博,他们把辛苦赚来的钱都输光完了,还欠了高利贷的钱。我曾好几次去这个场所里找开设赌博机的老板,让他们以后看到我老公不要让他玩,要不然我就报警.可他们回答我的却是,他要来玩关我们什么事！要报警就去报！我也曾报过警,可在警察还没来之前,就有人打他们老板的电话告诉告诉他们有人报警。接着我就被他们找人打了一顿,然后他们就把门锁了,警察来了后,在门口看了下就走了.后来据我了解,这家赌博场所的老板势力很大！和罗南派出所的领导很熟悉关系很好！,在罗南大街小巷开了好多家赌博机场所。本人此举实在是没办法了,所以通过一些朋友孩子的帮助到网上帮我写上这份信！希望你们能尽快的为民除害,除掉这些害人的赌博机."
将赫赛汀药物进入上海医保,待回复,医疗 求助,匿***,2015-01-2116:06,乳腺癌的发病率持续上升，对于女性来说是致命的危机。由于治疗乳腺癌中的一个靶向治疗十分重要，然而靶向治疗中的一药物——赫赛汀价格非常昂贵，让大多数普通家庭对于高昂的治疗费用望而却步。虽然现在有赠药活动，但也需要支付15万先购买六只，再送八支，这只是一个疗程。后期如果还需用药都是自费的。希望市长先生能够批准将赫赛汀药物纳入上海医保，让上海每一位女性有了多一层保障。您的一个决定可以造福千万女性，给予家庭更多欢乐。希望您能批准！再次表示感谢！
公交出行,待回复,交通 投诉,匿***,2015-01-1916:31,我想反映浦东航头出行难，如长达佳苑，海星苑等，好大的小区竟然只有一辆183公交车可以进出，白天间隔时间长，晚上7点左右也都没有了。其它离得近的都要半个多小时，老百姓太难了。开往地铁16线的1067公交离我们小区其实完全可以延长过来，就这一站路要我们走半小时，苦死了。。。镇上小区区间车的站点，时间等都背离老百姓的出行哦。一塔糊涂，越来越乱。。。真的呼吁，给我们老百姓一条路走走吧。。。。
民工工资不给,待回复,三农 求助,匿***,2015-01-1913:55,民工工资拖欠半年，现在过年了，没钱回家，请求领导帮忙解决
厅西路，学校菜场踩踏高发区,黄浦区人民政府,城建 咨询,匿***,2015-01-1913:42, 黄浦区，厅西路，又是露天菜场又是棚户区，又是学校，人员密集度堪比，外滩事故人群！最主要菜场里面有学校，是在里面，每天早晚人最多，放学时间整个学校学生和老师都加入到在这条宽不到5米长不到300米的买菜队伍中的小路上，人贴人的拥挤在一起。还时不时的听见孩子放学打闹声，也没有人维护秩序，这一摔倒，就是一片，非常容易出像外滩那样的事故，这里又是棚户火灾高发区，人员太密集了，加快规划力度，拆迁这里有重大隐患的区域吧，谢谢 
教育培训乱象丛生,上海市教育委员会,教育 投诉,匿***,2015-01-1613:45,尊敬的中纪委您好 ：     强烈投诉教育部各地教委、教育局无作为，目前全国各地大中小城市很多民营教育培训机构严重违纪犯法——《中华人民共和国教育法》、《中华人民共和国教师法》等。在严重不具备师资力量，不具备师德、师心、师行，不固定教学地点，在临时租借的酒店或宾馆会场恶意大搞阴谋诡计，设置圈套陷阱式的情况下。非法组织洗脑运用多媒体开课讲课——讲说明会，招生会、、、、、、、现场交订金或会后成交。到处开设总部，分公司。歪门邪道，唯利是图的吸收并聘请非法传销分子做讲师，在会场上扇阴风，点鬼火的污蔑政府官员和同行正规国家认可的院校师生，毫无证据的在会上激情演讲，严重误导欺诈欺骗愚弄听课群众报名骗钱后去上后期高昂的的课程。具体有：1、设在上海的实践家教育集团，创办人台湾传销骗子林伟贤，每次开课招生会场上都会自诩鼓吹自己很多头衔，如何号召学员们学习他做个有钱的商人，复制和他一样思想和行为，条件是：（1）、12岁以上所有有钱人；（2）、借钱或他人代缴予开课前；（3）高昂的学费额2----24万元不等。所有的课程都严重的违背了国家的核心价值观，唆使学生们也不务正业的到处去夸夸其谈的去开发市场、资源整合，钱权挡道的祸国殃民。
快递公司天天堵路有没有人管,嘉定区人民政府,交通 投诉,匿***,2015-01-1613:36,嘉定区马陆镇博学南路百世汇通快递每天他妈的堵路口别人进不来出不去，嘉定区政府领导你们他妈的有没有人管，你们就知道他妈的收他们黑钱什么事也不管，真是他妈的贫官。
请书记为百姓做主,待回复,其他 求助,匿***,2015-01-1610:11,韩书记你好，本人是一个普通老百姓，父亲身体不好今年查处了很不好的病，一辈子唯一的爱好就是喜欢喝点酒，于是2014年12月27日，在1号店超市网店（注册地在上海）购买了一箱五粮液花了3550元，想在春节拿回家孝敬父亲，谁知酒发过来以后是假酒，商标都不全，和店家联系多次，无果。现求助领导帮助解决，这是本人一个半月的工资。
A30自S1至S32段并两港大道土方车污染,待回复,环保 建言,匿***,2015-01-1416:25,韩书记好！我们上海的A30，自S1至S32段并两港大道，渣土土方车严重污染这二十几公里道路！每天都会有土方车运输，超载、散落，使这段道路让环卫工人清洁恢复会需要几百万费用。难道这几家运输单位就为赚这些市政工程的几十万块钱这样干吗？现在随时都可以到现场看一下。我们建议：1、让这几家运输单位清洁这段道路；          2、这段监管、管理的部门（环保、路政、交管）如何分工？在干什么？          3、需要建立长效管理机制，我们的市政道路太可惜啦!
动拆迁事宜,闸北区人民政府,城建 咨询,t***,2015-01-1313:49,尊敬的韩正市长：您好！    我是家住闸北区川公路的居民 （其具体位置位于川公路和启东路交界处）， 由于此地块很早就开始筹备动拆迁工作（至今已余10年），最近一次已在1年前结束了第一次征询并且居民拆迁意向高于95%，此后一直听说将进行第二次征询工作，至今未果。从政府网站和房屋管理局了解到，此地已经批准动拆迁，而且动拆迁将延期于今年11月30日结束，所以想咨询一下市政府关于此地确切动工的时间。我们居住的住房年龄已经超过80年了，现在是严重的危房，加之此地环境脏、乱、差，并且无人管理，无人问津，居民反响很大。望政府能够了解实情，给予明确回复。盼回复，谢谢
严厉打击赌博机，还一个幸福的家庭,待回复,治安 投诉,匿***,2015-01-1109:55,上海市浦东新区合庆镇朝阳村奚阳公路与朝白路交叉口超市隔壁网吧打着游戏厅幌子开设聚众赌博，里面赌博机赌资很大，每天24小时营业，有人放风，很多人输的倾家荡产，妻离子散，害死很多家庭，他们有恃无恐扬言后台有保护伞，多次举报合庆派出所只是走过场，110没有任何处理结果，还会遭到报复，太猖狂了。请市长严查，惩治他们的保护伞，对合庆的周边的赌博场所给予打击。谢谢市长。
上海普陀区曹杨路长城大厦3楼赌博机泛滥,待回复,文娱 投诉,m***,2015-01-1108:23,上海市普陀区中山北路曹杨路路口长城大厦国美电器3楼网吧对面游戏机房里全都是赌博机，赌博是害人的，希望领导好好管一管。
能否给一个老兵一点安慰？,待回复,医疗 求助,匿***,2015-01-0809:33,尊敬的韩书记，您好：    我是一名在读的大学生，我的爷爷黄锡郎在1950年应征，51入朝鲜作战，在战场上服从上级领导，恪守命令，英勇战斗，获得三等功及和平鸽奖章等荣誉。随后响应国家要求退伍下乡，到湖南湘潭参与建设直至退休。    也就是自退伍复员起至退休，一直参与的是外地医保，在2000以前因为原厂经营不善等原因，退休金的领取非常困难，一直靠挂号信等方式与单位联系，月退休金不足1800元。    现在我爷爷的年纪逐渐大了今年就是85岁的老人了，身体很不好，12年又因前列腺问题开了刀，又有心律不齐等毛病。因为是外地医保的关系，经济负担很大。    随后我们家里的晚辈们也试图去解决这个问题，带着军人证等证件的情况下，去了浦东新区的民政局，想换成军人医保或者上海医保，但是对方给出的回应是，当初的部队番号已经取消，没有办法核实身份。    我想知道像我爷爷这样的情况，是否可以申请军人医保，以及我爷爷的退休待遇到底应该是怎么样的。    急盼！急盼！
机动车报废,待回复,交通 求助,匿***,2015-01-0516:17,我有一辆北京牌照的小轿车是1996年购买的，当时没有机动车登记证书，我想就相关问题打电话咨询一下上海市机动车回收中心54225333但电话一直无人接听，我现在一点头绪都没有不知该找哪个单位部门能得到明确的解答
请给地铁1号线沿线车站安装安全门。,上海市交通委员会,交通 建言,匿***,2015-01-0515:50,尊敬的韩正书记：您好！    新年前夕上海外滩发生了踩踏事件，作为老百姓深感痛心！安全是老百姓的头等大事，不容忽视！昨天韩书记亲自视察了地铁运行的安全情况。对此，不由我连想起回沪时经常乘坐地铁1号线，该线路的沿线车站也存在着一定的安全隐患。譬如在彭浦新村等车站，站台上乘客上下车的位置尚未安装可关闭的安全门，该安全隐患不容小觑。当列车进站时如发生推搡或人为故意制造事端，极易发生乘客跌入站台而造成人员伤亡事故。对此，恳请韩书记对此情况引起高度重视，并举一反三对全市的地铁车站安全门情况进行一次普查，对类似情况进行整改，花小钱买平安！特此谏言。 谢谢！  （本人系在浙江工作的上海老知青）
